Assessor Neighborhood,Assessed Land Value,Closed Roll Year
Hayes Valley,347530.62,2009
Hunters Point,166666.21,2009
Ingleside,154299.36,2009
Ingleside Heights,171700.5,2009
Ingleside Terrace,264000.65,2009
Inner Mission,295459.74,2009
Inner Parkside,242108.95,2009
Inner Richmond,295527.58,2009
Inner Sunset,258011.28,2009
Jordan Park/Laurel Heights,430675.45,2009
Lake --The Presidio,386006.08,2009
Lake Shore,295040.14,2009
Lakeside,270766.71,2009
Lone Mountain,272615.46,2009
Lower Pacific Heights,341782.36,2009
Marina,498067.83,2009
Merced Heights,156488.13,2009
Merced Manor,295937.62,2009
Midtown Terrace,215654.79,2009
Miraloma Park,243384.6,2009
Mission Bay,618096.25,2009
Mission Dolores,316693.0,2009
Mission Terrace,176389.65,2009
Monterey Heights,419412.04,2009
Mount Davidson Manor,257281.89,2009
Nob Hill,402595.68,2009
Noe Valley,342367.36,2009
North Beach,349707.21,2009
North Waterfront,673014.76,2009
Oceanview,165018.15,2009
Outer Mission,154681.91,2009
Outer Parkside,185885.52,2009
Outer Richmond,236918.85,2009
Outer Sunset,201376.15,2009
Pacific Heights,693188.96,2009
Park North,325190.52,2009
Parkside,203377.93,2009
Parnassus/Ashbury Heights,392515.6,2009
Pine Lake Park,257585.44,2009
Portola,155749.22,2009
Potrero Hill,310853.95,2009
Presidio Heights,958527.87,2009
Russian Hill,312950.16,2009
Sea Cliff,858878.02,2009
Sherwood Forest,314780.29,2009
Silver Terrace,124076.45,2009
South Beach,661864.67,2009
South of Market,543667.98,2009
St. Francis Wood,567791.86,2009
Stonestown,1899612.61,2009
Sunnyside,196821.36,2009
Telegraph Hill,411068.81,2009
Twin Peaks,283320.45,2009
Union Square,618702.38,2009
Van Ness/ Civic Center,301350.33,2009
Visitacion Valley,140164.09,2009
West Portal,294088.11,2009
Western Addition,339620.41,2009
Westwood Highlands,287138.48,2009
Westwood Park,227212.36,2009
Yerba Buena,178255.38,2009
Alamo Square,411813.43,2010
Anza Vista,350678.72,2010
Balboa Terrace,371658.38,2010
Bayview,214896.32,2010
