,Average Daily Rate,Hotel Occupancy,Date
0,141.6038,0.738483639,2004-07
1,143.1187,0.7195705240000001,2004-08
2,137.4212,0.7507566990000001,2004-09
3,141.5987,0.778465724,2004-10
4,148.4632,0.6823472279999999,2004-11
5,153.0792,0.7610189009999999,2004-12
6,148.8121,0.7290999709999999,2005-01
7,151.1379,0.740804763,2005-02
8,153.0208,0.7449085390000001,2005-03
9,157.8543,0.740657015,2005-04
10,154.0527,0.7565445209999999,2005-05
11,150.7068,0.743565795,2005-06
12,152.0268,0.7685329120000001,2005-07
13,151.0215,0.769896315,2005-08
14,155.2344,0.809639577,2005-09
15,150.7996,0.774780679,2005-10
16,157.2,0.766694428,2005-11
17,163.7998,0.741722067,2005-12
18,160.7223,0.755878267,2006-01
19,161.3353,0.7232449459999999,2006-02
20,172.3194,0.771585704,2006-03
21,169.9458,0.77044215,2006-04
22,166.1086,0.73818648,2006-05
23,167.8425,0.7371636290000001,2006-06
24,165.043,0.746678895,2006-07
25,163.9165,0.730165428,2006-08
26,168.0008,0.7958389020000001,2006-09
27,176.6446,0.789520859,2006-10
28,171.41400000000002,0.7764267979999999,2006-11
29,172.9293,0.752576536,2006-12
30,179.4341,0.727882775,2007-01
31,186.9618,0.7912892359999999,2007-02
32,188.4775,0.7736377940000001,2007-03
33,183.4274,0.7644851229999999,2007-04
34,185.5201,0.8000240909999999,2007-05
35,175.06900000000002,0.7536263409999999,2007-06
36,185.5056,0.773085832,2007-07
37,187.9078,0.769013407,2007-08
38,187.7206,0.799519082,2007-09
39,187.4537,0.795969687,2007-10
40,198.6868,0.8218445209999999,2007-11
41,176.0552,0.77187337,2007-12
42,184.5935,0.785090953,2008-01
43,197.1489,0.811044029,2008-02
44,186.4007,0.784924287,2008-03
45,183.7442,0.7684564740000001,2008-04
46,180.0821,0.771037711,2008-05
47,195.0557,0.782893383,2008-06
48,189.8645,0.808598609,2008-07
49,183.6128,0.810510112,2008-08
50,192.5804,0.796758947,2008-09
51,182.8225,0.7591192390000001,2008-10
52,184.2355,0.7407414440000001,2008-11
53,188.6491,0.80564283,2008-12
54,169.4801,0.742489119,2009-01
55,157.9055,0.6486157260000001,2009-02
