Neighborhood,Home Price,Annual Rent,Lat,Lng
Bayview,187984.2125,30723,37.730416,-122.384424
Bernal Heights,244054.07400000002,34471,37.738949600000005,-122.4152013
Buena Vista,444999.698,42407,37.806504499999996,-122.42077830000001
Corona Heights,363476.36600000004,41051,37.7618119,-122.44318510000001
Cow Hollow,556116.328,52856,37.798033000000004,-122.43964629999999
Crocker Amazon,177225.74800000002,31133,37.71195230000001,-122.4375836
Diamond Heights,244282.43600000005,36285,37.7423723,-122.44247730000001
Downtown,363456.14300000004,30867,37.7945742,-122.3999445
Excelsior,174653.94199999998,31277,37.7244152,-122.4272295
Financial District,2441904.8269999996,50749,37.7945742,-122.3999445
Forest Hill,360367.6875,48312,37.7473152,-122.46512320000001
Forest Knolls,348573.878,37977,37.75858789999999,-122.4594622
Glen Park,294885.22400000005,39661,37.73777150000001,-122.4321041
Golden Gate Heights,267359.825,41205,37.7527187,-122.47078390000001
Hayes Valley,381054.293,37659,37.7759073,-122.42452469999999
Ingleside,170316.21999999997,30815,37.7198213,-122.4538009
Ingleside Heights,184403.311,29344,37.7130811,-122.46795359999999
Ingleside Terrace,293014.50000000006,42007,37.7198213,-122.4538009
Inner Richmond,325511.16799999995,42140,37.7798704,-122.46474579999999
Inner Sunset,282611.95300000004,38809,37.7607369,-122.46795359999999
Lake,422440.32999999996,53120,37.7226724,-122.4948384
Lakeshore,331230.6811111111,36655,37.7233167,-122.4886792
Laurel Heights,482880.408,53096,37.7850214,-122.45097009999999
Lone Mountain,303128.204,40284,37.7938181,-122.4644162
Lower Pacific Heights,382571.118,35917,37.786997,-122.43681509999999
Marina,546679.416,51035,37.8036667,-122.43681509999999
Midtown Terrace,240720.24099999998,35627,37.75080139999999,-122.4538009
Miraloma Park,267478.90099999995,37254,37.7403241,-122.44477749999999
Mission,339769.621,36022,37.759864799999995,-122.4147977
Mission Bay,667621.1190000001,40279,37.7730963,-122.39292250000001
Mission Terrace,196566.45300000004,32045,37.7245693,-122.44335729999999
Mount Davidson Manor,280937.058,36736,37.7283105,-122.4630004
Nob Hill,457546.80999999994,42413,37.793014,-122.416113
Noe Valley,382965.95700000005,44162,37.750237799999994,-122.43370290000001
North Beach,378419.086,37995,37.8060532,-122.4103311
North Waterfront,809763.509,34702,37.7993601,-122.39738500000001
Oceanview,180880.472,30397,37.714182799999996,-122.4566316
Outer Mission,170505.17,30807,37.71567770000001,-122.44579109999998
Outer Richmond,263896.103,33598,37.777677000000004,-122.49531
Outer Sunset,217018.86500000005,31582,37.7467314,-122.4863492
Pacific Heights,785721.301,52744,37.7925153,-122.4382307
Parkside,224483.90900000004,33088,37.733048,-122.4785669
Portola,174091.177,31881,37.7297408,-122.4099154
Potrero Hill,341546.54,36907,37.7604929,-122.400869
Presidio Heights,1089708.955,127688,37.7889125,-122.4538009
Russian Hill,355123.9699999999,44766,37.8010963,-122.4195558
Seacliff,979686.365,101636,37.785940999999994,-122.4907
Silver Terrace,142188.261,30945,37.7332209,-122.3985871
South Beach,734063.097,39710,37.7835826,-122.38990659999999
South of Market,595599.154,34134,37.7785189,-122.4056395
St. Francis Wood,623600.676,69361,37.7377845,-122.46512320000001
Stonestown,1739866.0444444446,40306,37.7282649,-122.4794164
Sunnyside,215943.0,32209,37.7299104,-122.44428880000001
Telegraph Hill,456341.907,39437,37.8013407,-122.40566740000001
Twin Peaks,323275.365,39640,37.7525098,-122.4475683
Visitacion Valley,152940.55,29865,37.717175399999995,-122.40425139999999
Western Addition,354442.29199999996,34341,37.7822112,-122.4341781
Westwood Highlands,313494.955,38955,37.7332501,-122.4566316
Westwood Park,247924.34900000002,33709,37.7261005,-122.4566316
