Region Name,Region Type,Data Type,2011,2012,2013,2014,2015,2016,2017,2018
Pacific Heights,neighborhood,All Homes,"$2,568 ","$2,633 ","$3,053 ","$3,435 ","$3,838 ","$4,071 ","$3,913 ","$3,964 "
Panhandle,neighborhood,All Homes,"$4,371 ","$4,372 ","$4,578 ","$4,968 ","$6,526 ","$6,338 ","$5,923 ","$5,854 "
Parkside,neighborhood,All Homes,"$3,104 ","$3,537 ","$3,666 ","$4,048 ","$4,695 ","$4,796 ","$4,599 ","$4,800 "
Portola,neighborhood,All Homes,"$2,714 ","$2,758 ","$3,108 ","$3,462 ","$3,878 ","$4,238 ","$4,105 ","$4,001 "
Potrero Hill,neighborhood,All Homes,"$2,591 ","$2,534 ","$2,683 ","$2,995 ","$3,611 ","$4,073 ","$3,971 ","$3,757 "
Presidio Heights,neighborhood,All Homes,"$3,067 ","$3,333 ","$3,725 ","$3,956 ","$4,863 ","$4,822 ","$4,552 ","$4,589 "
Russian Hill,neighborhood,All Homes,"$10,419 ","$10,359 ","$11,516 ","$12,446 ","$15,003 ","$15,951 ","$15,095 ","$13,723 "
San Francisco,city,All Homes,"$40,710 ","$41,061 ","$41,441 ","$41,806 ","$42,171 ","$42,537 ","$42,902 ","$43,221 "
Seacliff,neighborhood,All Homes,"$3,710 ","$3,821 ","$4,210 ","$4,605 ","$5,480 ","$5,499 ","$5,250 ","$5,390 "
Silver Terrace,neighborhood,All Homes,"$8,213 ","$7,961 ","$9,073 ","$9,633 ","$12,676 ","$13,256 ","$12,281 ","$11,270 "
South Beach,neighborhood,All Homes,"$2,498 ","$2,453 ","$2,567 ","$3,016 ","$3,526 ","$3,840 ","$3,834 ","$3,522 "
South of Market,neighborhood,All Homes,"$3,277 ","$3,389 ","$3,996 ","$4,205 ","$4,952 ","$4,814 ","$4,564 ","$4,629 "
St. Francis Wood,neighborhood,All Homes,"$2,783 ","$3,112 ","$3,448 ","$3,790 ","$4,274 ","$4,232 ","$3,989 ","$3,932 "
Stonestown,neighborhood,All Homes,"$5,658 ","$5,461 ","$5,706 ","$5,900 ","$7,930 ","$8,664 ","$8,837 ","$8,064 "
Sunnyside,neighborhood,All Homes,"$3,220 ","$3,124 ","$3,252 ","$3,704 ","$4,506 ","$4,998 ","$4,779 ","$4,715 "
Telegraph Hill,neighborhood,All Homes,"$2,639 ","$2,693 ","$2,970 ","$3,295 ","$3,845 ","$4,196 ","$4,102 ","$4,007 "
Twin Peaks,neighborhood,All Homes,"$3,314 ","$3,314 ","$3,544 ","$3,882","$4,927 ","$5,055 ","$4,720 ","$4,748 "
Upper Market,neighborhood,All Homes,"$3,284 ","$3,501 ","$3,873 ","$4,072 ","$4,948 ","$4,773 ","$4,536 ","$4,588 "
Visitacion Valley,neighborhood,All Homes,"$3,091 ","$3,373 ","$3,564 ","$3,935 ","$4,682 ","$4,605 ","$4,414 ","$4,367 "
Western Addition,neighborhood,All Homes,"$2,389 ","$2,419 ","$2,572 ","$2,854 ","$3,426 ","$3,698 ","$3,610 ","$3,471 "
Westwood Highlands,neighborhood,All Homes,"$2,838 ","$3,138 ","$3,653 ","$3,978 ","$4,552 ","$4,588 ","$4,288 ","$4,263 "
Westwood Park,neighborhood,All Homes,"$3,203 ","$3,161 ","$3,128 ","$3,780 ","$4,595 ","$4,840 ","$4,544 ","$4,617 "
